column,selectivity,threshold,method,run,time_ms
l_extendedprice,92.6%,90000,plain,2,110.000
l_extendedprice,92.6%,90000,plain,3,109.000
l_extendedprice,92.6%,90000,plain,4,112.000
l_extendedprice,92.6%,90000,plain,5,109.000
l_extendedprice,99.9%,150000,plain,1,4.000
l_extendedprice,99.9%,150000,plain,2,5.000
l_extendedprice,99.9%,150000,plain,3,3.000
l_extendedprice,99.9%,150000,plain,4,4.000
l_extendedprice,99.9%,150000,plain,5,3.000
l_extendedprice,12.9%,10000,sketch,1,158.000
l_extendedprice,12.9%,10000,sketch,2,107.000
l_extendedprice,12.9%,10000,sketch,3,109.000
l_extendedprice,12.9%,10000,sketch,4,111.000
l_extendedprice,12.9%,10000,sketch,5,114.000
l_extendedprice,33.7%,25000,sketch,1,111.000
l_extendedprice,33.7%,25000,sketch,2,110.000
l_extendedprice,33.7%,25000,sketch,3,110.000
l_extendedprice,33.7%,25000,sketch,4,108.000
l_extendedprice,33.7%,25000,sketch,5,109.000
l_extendedprice,68.4%,55000,sketch,1,109.000
l_extendedprice,68.4%,55000,sketch,2,110.000
l_extendedprice,68.4%,55000,sketch,3,110.000
l_extendedprice,68.4%,55000,sketch,4,109.000
l_extendedprice,68.4%,55000,sketch,5,108.000
l_extendedprice,92.6%,90000,sketch,1,111.000
l_extendedprice,92.6%,90000,sketch,2,110.000
l_extendedprice,92.6%,90000,sketch,3,108.000
l_extendedprice,92.6%,90000,sketch,4,109.000
l_extendedprice,92.6%,90000,sketch,5,109.000
l_extendedprice,99.9%,150000,sketch,1,5.000
l_extendedprice,99.9%,150000,sketch,2,5.000
l_extendedprice,99.9%,150000,sketch,3,4.000
l_extendedprice,99.9%,150000,sketch,4,4.000
l_extendedprice,99.9%,150000,sketch,5,3.000
l_extendedprice,12.9%,10000,cubit,1,123.000
l_extendedprice,12.9%,10000,cubit,2,112.000
l_extendedprice,12.9%,10000,cubit,3,111.000
l_extendedprice,12.9%,10000,cubit,4,113.000
l_extendedprice,12.9%,10000,cubit,5,113.000
l_extendedprice,33.7%,25000,cubit,1,111.000
l_extendedprice,33.7%,25000,cubit,2,113.000
l_extendedprice,33.7%,25000,cubit,3,119.000
l_extendedprice,33.7%,25000,cubit,4,112.000
l_extendedprice,33.7%,25000,cubit,5,111.000
l_extendedprice,68.4%,55000,cubit,1,118.000
l_extendedprice,68.4%,55000,cubit,2,115.000
l_extendedprice,68.4%,55000,cubit,3,116.000
l_extendedprice,68.4%,55000,cubit,4,112.000
l_extendedprice,68.4%,55000,cubit,5,116.000
l_extendedprice,92.6%,90000,cubit,1,116.000
l_extendedprice,92.6%,90000,cubit,2,110.000
l_extendedprice,92.6%,90000,cubit,3,116.000
l_extendedprice,92.6%,90000,cubit,4,112.000
l_extendedprice,92.6%,90000,cubit,5,113.000
l_extendedprice,99.9%,150000,cubit,1,5.000
l_extendedprice,99.9%,150000,cubit,2,6.000
l_extendedprice,99.9%,150000,cubit,3,5.000
l_extendedprice,99.9%,150000,cubit,4,3.000
l_extendedprice,99.9%,150000,cubit,5,4.000
l_extendedprice,12.9%,10000,rabit,1,130.000
l_extendedprice,12.9%,10000,rabit,2,111.000
l_extendedprice,12.9%,10000,rabit,3,115.000
l_extendedprice,12.9%,10000,rabit,4,108.000
l_extendedprice,12.9%,10000,rabit,5,112.000
l_extendedprice,33.7%,25000,rabit,1,109.000
l_extendedprice,33.7%,25000,rabit,2,109.000
l_extendedprice,33.7%,25000,rabit,3,110.000
l_extendedprice,33.7%,25000,rabit,4,110.000
l_extendedprice,33.7%,25000,rabit,5,109.000
l_extendedprice,68.4%,55000,rabit,1,110.000
l_extendedprice,68.4%,55000,rabit,2,109.000
l_extendedprice,68.4%,55000,rabit,3,110.000
l_extendedprice,68.4%,55000,rabit,4,110.000
l_extendedprice,68.4%,55000,rabit,5,108.000
l_extendedprice,92.6%,90000,rabit,1,110.000
l_extendedprice,92.6%,90000,rabit,2,109.000
l_extendedprice,92.6%,90000,rabit,3,112.000
l_extendedprice,92.6%,90000,rabit,4,114.000
l_extendedprice,92.6%,90000,rabit,5,115.000
l_extendedprice,99.9%,150000,rabit,1,6.000
l_extendedprice,99.9%,150000,rabit,2,6.000
l_extendedprice,99.9%,150000,rabit,3,6.000
l_extendedprice,99.9%,150000,rabit,4,5.000
l_extendedprice,99.9%,150000,rabit,5,4.000
l_quantity,8.00%,5,plain,1,92.000
l_quantity,8.00%,5,plain,2,91.000
l_quantity,8.00%,5,plain,3,84.000
l_quantity,8.00%,5,plain,4,84.000
l_quantity,8.00%,5,plain,5,83.000
l_quantity,18.0%,10,plain,1,85.000
l_quantity,18.0%,10,plain,2,84.000
l_quantity,18.0%,10,plain,3,83.000
l_quantity,18.0%,10,plain,4,83.000
l_quantity,18.0%,10,plain,5,85.000
l_quantity,38.0%,20,plain,1,85.000
l_quantity,38.0%,20,plain,2,83.000
l_quantity,38.0%,20,plain,3,83.000
l_quantity,38.0%,20,plain,4,85.000
l_quantity,38.0%,20,plain,5,84.000
l_quantity,58.0%,30,plain,1,85.000
l_quantity,58.0%,30,plain,2,84.000
l_quantity,58.0%,30,plain,3,83.000
l_quantity,58.0%,30,plain,4,85.000
l_quantity,58.0%,30,plain,5,85.000
l_quantity,78.0%,40,plain,1,87.000
l_quantity,78.0%,40,plain,2,84.000
l_quantity,78.0%,40,plain,3,85.000
l_quantity,78.0%,40,plain,4,84.000
l_quantity,78.0%,40,plain,5,83.000
l_quantity,8.00%,5,sketch,1,91.000
l_quantity,8.00%,5,sketch,2,86.000
l_quantity,8.00%,5,sketch,3,86.000
l_quantity,8.00%,5,sketch,4,87.000
l_quantity,8.00%,5,sketch,5,87.000
l_quantity,18.0%,10,sketch,1,86.000
l_quantity,18.0%,10,sketch,2,87.000
l_quantity,18.0%,10,sketch,3,86.000
l_quantity,18.0%,10,sketch,4,86.000
l_quantity,18.0%,10,sketch,5,85.000
l_quantity,38.0%,20,sketch,1,87.000
l_quantity,38.0%,20,sketch,2,86.000
l_quantity,38.0%,20,sketch,3,85.000
l_quantity,38.0%,20,sketch,4,85.000
l_quantity,38.0%,20,sketch,5,86.000
l_quantity,58.0%,30,sketch,1,87.000
l_quantity,58.0%,30,sketch,2,87.000
l_quantity,58.0%,30,sketch,3,84.000
l_quantity,58.0%,30,sketch,4,89.000
l_quantity,58.0%,30,sketch,5,87.000
l_quantity,78.0%,40,sketch,1,85.000
l_quantity,78.0%,40,sketch,2,88.000
l_quantity,78.0%,40,sketch,3,87.000
l_quantity,78.0%,40,sketch,4,86.000
l_quantity,78.0%,40,sketch,5,84.000
l_quantity,8.00%,5,cubit,1,93.000
l_quantity,8.00%,5,cubit,2,87.000
l_quantity,8.00%,5,cubit,3,87.000
l_quantity,8.00%,5,cubit,4,85.000
l_quantity,8.00%,5,cubit,5,88.000
l_quantity,18.0%,10,cubit,1,86.000
l_quantity,18.0%,10,cubit,2,86.000
l_quantity,18.0%,10,cubit,3,86.000
l_quantity,18.0%,10,cubit,4,85.000
l_quantity,18.0%,10,cubit,5,87.000
l_quantity,38.0%,20,cubit,1,86.000
l_quantity,38.0%,20,cubit,2,85.000
l_quantity,38.0%,20,cubit,3,84.000
l_quantity,38.0%,20,cubit,4,87.000
l_quantity,38.0%,20,cubit,5,84.000
l_quantity,58.0%,30,cubit,1,84.000
l_quantity,58.0%,30,cubit,2,86.000
l_quantity,58.0%,30,cubit,3,85.000
l_quantity,58.0%,30,cubit,4,85.000
l_quantity,58.0%,30,cubit,5,84.000
l_quantity,78.0%,40,cubit,1,85.000
l_quantity,78.0%,40,cubit,2,86.000
l_quantity,78.0%,40,cubit,3,84.000
l_quantity,78.0%,40,cubit,4,88.000
l_quantity,78.0%,40,cubit,5,84.000
l_quantity,8.00%,5,rabit,1,89.000
l_quantity,8.00%,5,rabit,2,88.000
l_quantity,8.00%,5,rabit,3,88.000
l_quantity,8.00%,5,rabit,4,89.000
l_quantity,8.00%,5,rabit,5,84.000
l_quantity,18.0%,10,rabit,1,85.000
l_quantity,18.0%,10,rabit,2,89.000
l_quantity,18.0%,10,rabit,3,86.000
l_quantity,18.0%,10,rabit,4,85.000
l_quantity,18.0%,10,rabit,5,87.000
l_quantity,38.0%,20,rabit,1,87.000
l_quantity,38.0%,20,rabit,2,85.000
l_quantity,38.0%,20,rabit,3,86.000
l_quantity,38.0%,20,rabit,4,86.000
l_quantity,38.0%,20,rabit,5,85.000
l_quantity,58.0%,30,rabit,1,86.000
l_quantity,58.0%,30,rabit,2,88.000
l_quantity,58.0%,30,rabit,3,85.000
l_quantity,58.0%,30,rabit,4,85.000
l_quantity,58.0%,30,rabit,5,89.000
l_quantity,78.0%,40,rabit,1,87.000
l_quantity,78.0%,40,rabit,2,88.000
l_quantity,78.0%,40,rabit,3,87.000
l_quantity,78.0%,40,rabit,4,86.000
l_quantity,78.0%,40,rabit,5,87.000
l_shipdate,3.78%,date '1993-01-01',plain,1,26.000
l_shipdate,3.78%,date '1993-01-01',plain,2,21.000
l_shipdate,3.78%,date '1993-01-01',plain,3,22.000
l_shipdate,3.78%,date '1993-01-01',plain,4,21.000
l_shipdate,3.78%,date '1993-01-01',plain,5,21.000
l_shipdate,12.7%,date '1993-08-01',plain,1,24.000
l_shipdate,12.7%,date '1993-08-01',plain,2,24.000
l_shipdate,12.7%,date '1993-08-01',plain,3,24.000
l_shipdate,12.7%,date '1993-08-01',plain,4,23.000
l_shipdate,12.7%,date '1993-08-01',plain,5,23.000
l_shipdate,27.8%,date '1994-04-01',plain,1,25.000
l_shipdate,27.8%,date '1994-04-01',plain,2,27.000
l_shipdate,27.8%,date '1994-04-01',plain,3,27.000
l_shipdate,27.8%,date '1994-04-01',plain,4,26.000
l_shipdate,27.8%,date '1994-04-01',plain,5,25.000
l_shipdate,43.0%,date '1995-01-01',plain,1,28.000
l_shipdate,43.0%,date '1995-01-01',plain,2,27.000
l_shipdate,43.0%,date '1995-01-01',plain,3,27.000
l_shipdate,43.0%,date '1995-01-01',plain,4,27.000
l_shipdate,43.0%,date '1995-01-01',plain,5,27.000
l_shipdate,73.4%,date '1996-06-01',plain,1,27.000
l_shipdate,73.4%,date '1996-06-01',plain,2,24.000
l_shipdate,73.4%,date '1996-06-01',plain,3,26.000
l_shipdate,73.4%,date '1996-06-01',plain,4,24.000
l_shipdate,73.4%,date '1996-06-01',plain,5,25.000
l_shipdate,3.78%,date '1993-01-01',sketch,1,88.000
l_shipdate,3.78%,date '1993-01-01',sketch,2,25.000
l_shipdate,3.78%,date '1993-01-01',sketch,3,23.000
